tick,poi_id,visitors,crowd_ratio,name,neighborhood,category
1,35,20,0.1111111111111111,Mercat de Santa Caterina,El Born,Food
1,36,46,0.2875,Mercat de la Concepcio,Sant Antoni,Food
1,37,150,0.375,Mercat dels Encants,Poblenou,History
1,38,85,0.053125,Barceloneta Beach,La Barceloneta,Nature
1,39,6,0.006,Port Vell (Promenade),Barri Gotic,History
1,40,1,0.004166666666666667,Aquarium Barcelona,Barri Gotic,Nature
1,41,1,0.008333333333333333,Maritime Museum,Barri Gotic,History
1,42,22,0.11,Basilica de la Mare de Deu de la Merce,Barri Gotic,Religious
1,43,5,0.05,El Born Cultural Center,El Born,History
1,44,40,0.3333333333333333,Parc de la Creueta del Coll,Horta-Guinardo,Nature
1,45,27,0.16875,Parc de l'Espanya Industrial,Sants,Nature
1,46,154,0.6416666666666667,Parc Central de Nou Barris,Nou Barris,Nature
1,47,101,0.63125,Parc del Turo de la Peira,Nou Barris,Nature
1,48,18,0.225,Torre Glories Viewpoint,Poblenou,Art
1,49,212,0.35333333333333333,Parc Diagonal Mar,Poblenou,Nature
1,50,240,0.3,Forum Building / Forum Park,Poblenou,History
2,1,2,0.006666666666666667,Sagrada Familia,Eixample,Religious
2,2,19,0.1357142857142857,Parc Guell,Gracia,Nature
2,3,16,0.01,La Rambla,Barri Gotic,History
2,4,11,0.06875,Santa Maria del Mar,El Born,Religious
2,5,0,0.0,Casa Batllo,Eixample,Art
2,6,1,0.01,Casa Mila (La Pedrera),Eixample,Art
2,7,1,0.0023299161230195715,Palau de la Musica Catalana,El Born,Art
2,8,0,0.0,Hospital de Sant Pau,Eixample,History
2,9,11,0.04583333333333333,Barcelona Cathedral,Barri Gotic,Religious
2,10,7,0.058333333333333334,Basilica de Santa Maria del Pi,Barri Gotic,Religious
2,11,20,0.4,Palau Guell,El Raval,Art
2,12,45,0.375,MACBA Museum,El Raval,Art
2,13,39,0.39,CCCB Center,El Raval,Art
2,14,22,0.55,Sant Pau del Camp,El Raval,Religious
2,15,3,0.05,Church of Sant Josep Oriol,Barri Gotic,Religious
2,16,4,0.044444444444444446,Picasso Museum,El Born,Art
2,17,6,0.075,Fundacio Joan Miro,Montjuic,Art
2,18,9,0.0225,MNAC (Palau Nacional),Montjuic,Art
2,19,27,0.054,Barcelona Zoo,Ciutadella,Nature
2,20,72,0.072,Parc de la Ciutadella,Ciutadella,Nature
2,21,8,0.02666666666666667,Castell de Montjuic,Montjuic,History
2,22,81,0.050625,Magic Fountain of Montjuic,Montjuic,History
2,23,17,0.024285714285714285,Poble Espanyol,Montjuic,History
2,24,56,0.005006615885276973,Estadi Olimpic Lluis Companys,Montjuic,History
2,25,7,0.1,Montjuic Cable Car (Teleferic),Montjuic,Nature
2,26,40,0.25,Laberint d'Horta,Horta-Guinardo,Nature
2,27,18,0.225,Bunkers del Carmel,Horta-Guinardo,Nature
2,28,43,0.17916666666666667,CosmoCaixa,Horta-Guinardo,Art
2,29,24,0.2,Tibidabo Temple (Sagrat Cor),Horta-Guinardo,Religious
2,30,6,0.12,Casa Vicens,Gracia,Art
2,31,129,0.006491937918956459,Camp Nou Stadium,Les Corts,History
2,32,2,0.0125,FC Barcelona Museum,Les Corts,History
2,33,192,0.384,Mercat de la Boqueria,El Raval,Food
2,34,53,0.22083333333333333,Mercat de Sant Antoni,Sant Antoni,Food
2,35,12,0.06666666666666667,Mercat de Santa Caterina,El Born,Food
2,36,39,0.24375,Mercat de la Concepcio,Sant Antoni,Food
2,37,93,0.2325,Mercat dels Encants,Poblenou,History
2,38,68,0.0425,Barceloneta Beach,La Barceloneta,Nature
2,39,4,0.004,Port Vell (Promenade),Barri Gotic,History
2,40,6,0.025,Aquarium Barcelona,Barri Gotic,Nature
2,41,2,0.016666666666666666,Maritime Museum,Barri Gotic,History
2,42,10,0.05,Basilica de la Mare de Deu de la Merce,Barri Gotic,Religious
2,43,4,0.04,El Born Cultural Center,El Born,History
2,44,30,0.25,Parc de la Creueta del Coll,Horta-Guinardo,Nature
2,45,17,0.10625,Parc de l'Espanya Industrial,Sants,Nature
2,46,107,0.44583333333333336,Parc Central de Nou Barris,Nou Barris,Nature
2,47,71,0.44375,Parc del Turo de la Peira,Nou Barris,Nature
2,48,13,0.1625,Torre Glories Viewpoint,Poblenou,Art
2,49,136,0.22666666666666666,Parc Diagonal Mar,Poblenou,Nature
2,50,165,0.20625,Forum Building / Forum Park,Poblenou,History
3,1,5,0.016666666666666666,Sagrada Familia,Eixample,Religious
3,2,13,0.09285714285714286,Parc Guell,Gracia,Nature
3,3,15,0.009375,La Rambla,Barri Gotic,History
3,4,13,0.08125,Santa Maria del Mar,El Born,Religious
3,5,0,0.0,Casa Batllo,Eixample,Art
3,6,0,0.0,Casa Mila (La Pedrera),Eixample,Art
3,7,1,0.0023299161230195715,Palau de la Musica Catalana,El Born,Art
3,8,0,0.0,Hospital de Sant Pau,Eixample,History
3,9,15,0.0625,Barcelona Cathedral,Barri Gotic,Religious
3,10,11,0.09166666666666666,Basilica de Santa Maria del Pi,Barri Gotic,Religious
3,11,28,0.56,Palau Guell,El Raval,Art
3,12,55,0.4583333333333333,MACBA Museum,El Raval,Art
3,13,53,0.53,CCCB Center,El Raval,Art
3,14,31,0.775,Sant Pau del Camp,El Raval,Religious
3,15,6,0.1,Church of Sant Josep Oriol,Barri Gotic,Religious
3,16,8,0.08888888888888889,Picasso Museum,El Born,Art
3,17,8,0.1,Fundacio Joan Miro,Montjuic,Art
3,18,20,0.05,MNAC (Palau Nacional),Montjuic,Art
3,19,25,0.05,Barcelona Zoo,Ciutadella,Nature
3,20,70,0.07,Parc de la Ciutadella,Ciutadella,Nature
3,21,9,0.03,Castell de Montjuic,Montjuic,History
3,22,65,0.040625,Magic Fountain of Montjuic,Montjuic,History
3,23,19,0.027142857142857142,Poble Espanyol,Montjuic,History
3,24,44,0.003933769624146193,Estadi Olimpic Lluis Companys,Montjuic,History
3,25,6,0.08571428571428572,Montjuic Cable Car (Teleferic),Montjuic,Nature
3,26,41,0.25625,Laberint d'Horta,Horta-Guinardo,Nature
3,27,21,0.2625,Bunkers del Carmel,Horta-Guinardo,Nature
3,28,67,0.2791666666666667,CosmoCaixa,Horta-Guinardo,Art
3,29,18,0.15,Tibidabo Temple (Sagrat Cor),Horta-Guinardo,Religious
3,30,9,0.18,Casa Vicens,Gracia,Art
3,31,141,0.00709583912071985,Camp Nou Stadium,Les Corts,History
3,32,0,0.0,FC Barcelona Museum,Les Corts,History
3,33,237,0.474,Mercat de la Boqueria,El Raval,Food
