tick,poi_id,visitors,crowd_ratio,name,neighborhood,category
1,36,88,0.55,Mercat de la Concepcio,Sant Antoni,Food
1,37,85,0.2125,Mercat dels Encants,Poblenou,History
1,38,39,0.024375,Barceloneta Beach,La Barceloneta,Nature
1,39,3,0.003,Port Vell (Promenade),Barri Gotic,History
1,40,0,0.0,Aquarium Barcelona,Barri Gotic,Nature
1,41,11,0.09166666666666666,Maritime Museum,Barri Gotic,History
1,42,0,0.0,Basilica de la Mare de Deu de la Merce,Barri Gotic,Religious
1,43,0,0.0,El Born Cultural Center,El Born,History
1,44,0,0.0,Parc de la Creueta del Coll,Horta-Guinardo,Nature
1,45,6,0.0375,Parc de l'Espanya Industrial,Sants,Nature
1,46,38,0.15833333333333333,Parc Central de Nou Barris,Nou Barris,Nature
1,47,0,0.0,Parc del Turo de la Peira,Nou Barris,Nature
1,48,0,0.0,Torre Glories Viewpoint,Poblenou,Art
1,49,0,0.0,Parc Diagonal Mar,Poblenou,Nature
1,50,25,0.03125,Forum Building / Forum Park,Poblenou,History
2,1,18,0.06,Sagrada Familia,Eixample,Religious
2,2,29,0.20714285714285716,Parc Guell,Gracia,Nature
2,3,266,0.16625,La Rambla,Barri Gotic,History
2,4,87,0.54375,Santa Maria del Mar,El Born,Religious
2,5,43,0.5375,Casa Batllo,Eixample,Art
2,6,0,0.0,Casa Mila (La Pedrera),Eixample,Art
2,7,5,0.011649580615097856,Palau de la Musica Catalana,El Born,Art
2,8,8,0.02666666666666667,Hospital de Sant Pau,Eixample,History
2,9,8,0.03333333333333333,Barcelona Cathedral,Barri Gotic,Religious
2,10,66,0.55,Basilica de Santa Maria del Pi,Barri Gotic,Religious
2,11,10,0.2,Palau Guell,El Raval,Art
2,12,0,0.0,MACBA Museum,El Raval,Art
2,13,3,0.03,CCCB Center,El Raval,Art
2,14,0,0.0,Sant Pau del Camp,El Raval,Religious
2,15,0,0.0,Church of Sant Josep Oriol,Barri Gotic,Religious
2,16,106,1.1777777777777778,Picasso Museum,El Born,Art
2,17,0,0.0,Fundacio Joan Miro,Montjuic,Art
2,18,0,0.0,MNAC (Palau Nacional),Montjuic,Art
2,19,47,0.094,Barcelona Zoo,Ciutadella,Nature
2,20,482,0.482,Parc de la Ciutadella,Ciutadella,Nature
2,21,8,0.02666666666666667,Castell de Montjuic,Montjuic,History
2,22,76,0.0475,Magic Fountain of Montjuic,Montjuic,History
2,23,0,0.0,Poble Espanyol,Montjuic,History
2,24,50,0.004470192754711583,Estadi Olimpic Lluis Companys,Montjuic,History
2,25,35,0.5,Montjuic Cable Car (Teleferic),Montjuic,Nature
2,26,0,0.0,Laberint d'Horta,Horta-Guinardo,Nature
2,27,0,0.0,Bunkers del Carmel,Horta-Guinardo,Nature
2,28,17,0.07083333333333333,CosmoCaixa,Horta-Guinardo,Art
